Symbol,open,high,low,close,volume,change,Vector1,Vector2,Vector3,Vector4
A,49.187863383637826,49.60005869737887,48.78202597299442,49.20202541699773,2338038.906274821,0.00028791722969233774,-0.18930000066757202,-0.6809999942779541,-1.1607999801635742,-0.2159000039100647
AAL,38.39049547259726,38.95555385226367,37.82560500397139,38.39325226370134,9390321.324066719,7.180920876759986e-05,-0.1111999973654747,-0.2662000060081482,-1.761299967765808,3.5104000568389893
AAP,132.4396305798252,133.81829722001598,131.03602494042872,132.43346306592537,1078043.216838761,-4.65684921713993e-05,0.9275000095367432,-0.07129999995231628,-0.5302000045776367,0.5655999779701233
AAPL,109.05542891183475,109.95111834789516,108.14158888006372,109.06669849086583,54047899.73550437,0.00010333808361058604,0.38280001282691956,-0.5569999814033508,-0.742900013923645,0.07180000096559525
ABBV,60.802800635424916,61.47413304209688,60.17727490071493,60.864440031771295,7870682.665607625,0.0010137591640880263,0.18019999563694,-1.1672999858856201,-0.7491000294685364,1.010200023651123
ABC,82.06642970611591,82.78177394757734,81.34988919777611,82.09297855440828,2005738.3232724385,0.00032350436576121506,0.5310999751091003,-0.9070000052452087,-0.4253000020980835,-0.3767000138759613
ABT,42.924758061953895,43.25870984908655,42.60101945988876,42.94032565528204,6964036.691818904,0.0003626716615542486,0.12970000505447388,-1.1131000518798828,-0.635699987411499,-1.0210000276565552
ACN,101.02282613185064,101.76644011119927,100.34816306592536,101.1190786338365,2596238.098490866,0.000952779739701939,0.22849999368190765,-0.4749000072479248,-0.782800018787384,-2.1630001068115234
ADBE,90.38760921366176,91.18987617156479,89.5786207307386,90.45815639396348,2998133.5996822873,0.0007804961422859847,-0.19089999794960022,-1.0118999481201172,-1.0547000169754028,-0.014700000174343586
ADI,60.92858252581421,61.47024749801434,60.34129269261315,60.93193208895952,2451738.088959492,5.497523504497083e-05,-0.41179999709129333,-0.08889999985694885,-1.684499979019165,-0.19939999282360077
ADM,42.37951945988881,42.76270587768069,42.01937029388397,42.402112787926896,3647857.6870532166,0.0005331190236705816,0.7324000000953674,-0.16419999301433563,-0.6021999716758728,-0.28529998660087585
ADP,86.96032168387607,87.55285210484503,86.34965424940428,87.00940111199368,2022774.221604448,0.0005643887599223091,0.1371999979019165,-1.1859999895095825,-0.5288000106811523,-2.219099998474121
ADS,241.00733518665626,243.46799904686245,238.46149285146913,241.0440508339953,619308.5424940429,0.00015234244762965814,-0.375900000333786,-0.20669999718666077,-1.6303999423980713,0.3361000120639801
ADSK,64.13887728355851,64.87470325655285,63.41757482128671,64.19433582208106,2482750.679110405,0.0008646633815768401,0.032999999821186066,-0.13830000162124634,-1.4085999727249146,1.3701000213623047
AEE,44.97462271644164,45.3205584590945,44.63759475774427,45.00293884034948,1622724.4956314536,0.0006296022556180499,3.1359000205993652,-1.1627999544143677,1.9242000579833984,-0.8482999801635742
AEP,58.440305798252666,58.86015464654482,58.02168681493242,58.466139793486846,2781243.0254169977,0.0004420578380161791,3.3027000427246094,-1.569599986076355,2.268699884414673,-1.2417999505996704
AES,12.337339714058766,12.470018903891983,12.202694360603658,12.340048451151723,5568655.816521049,0.00021955601091788087,1.9056999683380127,0.2563000023365021,0.09769999980926514,0.7378000020980835
AET,104.75635822081006,105.7992849880859,103.78293749007157,104.82171167593329,2716448.100873709,0.0006238614651482527,0.14839999377727509,-0.6822999715805054,-0.9399999976158142,0.20520000159740448
AFL,66.08916203335983,66.54092907069105,65.66906004765693,66.12238681493247,2116351.5226370133,0.0005027266279434892,0.2678999900817871,-0.3919999897480011,-0.7578999996185303,-2.3268001079559326
AGN,222.40117545671183,224.9561862589354,219.6454394757743,222.26103256552835,2880076.8125496428,-0.0006301355687337642,0.24410000443458557,-0.7372999787330627,-1.0099999904632568,2.023200035095215
AIG,55.692427402700645,56.128224384432094,55.26543947577449,55.706544876886426,8419467.383637808,0.0002534900137086938,0.09920000284910202,0.0729999989271164,-1.1894999742507935,-1.5052000284194946
AIV,37.4748610007943,37.792993089753814,37.15344146147737,37.49065925337562,1198721.3010325655,0.0004215693443395231,1.9280999898910522,-1.8007999658584595,1.1842999458312988,-0.2612000107765198
AIZ,75.36168387609214,75.98690786338359,74.7874548848292,75.40227164416207,545139.3129467831,0.0005385729986694522,0.4399999976158142,0.07320000231266022,-0.8634999990463257,-1.6267000436782837
AJG,48.61043288324056,48.92056004765689,48.291752343129495,48.62541699761724,924431.0667196187,0.0003082489393310208,0.23909999430179596,-0.7730000019073486,-0.6057000160217285,-2.4767000675201416
AKAM,56.60609046862582,57.21803868149325,56.00950436854652,56.625419301032565,2182469.447180302,0.00034146206259299123,-0.0828000009059906,-0.4794999957084656,-1.3071000576019287,1.1822999715805054
ALB,75.3668546465449,76.12907950754563,74.57657855440827,75.36178316123907,1160881.819698173,-6.729065886594054e-05,0.5982999801635742,0.3614000082015991,-1.05239999294281,0.4814999997615814
ALGN,83.62693804606837,84.66559372517868,82.5246159650516,83.66451826846715,885551.828435266,0.0004493793899050945,-0.024900000542402267,-0.43869999051094055,-1.3413000106811523,1.7517000436782837
ALK,61.76385822081015,62.52695051628272,60.971666401906326,61.76706513105648,1537615.6846703733,5.1922116569676955e-05,-0.039400000125169754,-0.5782999992370605,-1.396299958229065,2.523200035095215
ALL,67.19368387609215,67.62583502779981,66.80153200953139,67.22848292295474,2407102.868149325,0.0005178916358680214,0.5094000101089478,-0.9079999923706055,-0.30660000443458557,-2.376699924468994
ALLE,64.16677798682983,64.74000329256825,63.57825164628415,64.18211194731897,739724.4948259642,0.00023897039823772266,0.19179999828338623,-0.6241999864578247,-0.8418999910354614,-0.3506999909877777
ALXN,142.60172366957912,144.70387752184277,140.221779666402,142.51771008737114,1762434.8204924543,-0.0005891484341566586,0.05550000071525574,-0.2689000070095062,-1.6518000364303589,3.7207999229431152
AMAT,25.838796584590952,26.1145745830024,25.538444559173925,25.838925337569528,13230027.8649722,4.982932473426469e-06,-0.1500999927520752,0.08510000258684158,-1.5898000001907349,0.6510999798774719
AMD,5.604315250198568,5.717247100873705,5.486632803812549,5.601862589356624,32519037.79666402,-0.0004376379151507795,0.586899995803833,0.609499990940094,-1.7628999948501587,4.479700088500977
AME,52.33212470214454,52.728494440031824,51.946082128673545,52.357029388403554,1308148.1326449562,0.0004758967154641984,-0.15489999949932098,-0.6211000084877014,-1.0570000410079956,-1.9846999645233154
AMG,179.20622319301026,180.92498673550452,177.34026727561582,179.1746624305003,451857.10166799044,-0.00017611421047569818,-0.18320000171661377,0.4424999952316284,-1.7532999515533447,0.25690001249313354
AMGN,146.00554781572671,147.42604281175542,144.48836068308168,146.00447537728365,3465404.566322478,-7.345189680146855e-06,-0.13079999387264252,-0.8192999958992004,-1.1345000267028809,0.41589999198913574
AMP,114.082361477363,115.09998459094524,113.06971421763306,114.1116838760922,1132200.868943606,0.0002570283289150266,-0.0722000002861023,0.9728999733924866,-1.8037999868392944,-0.9458000063896179
AMT,101.01676806989671,101.81603828435263,100.2322553613981,101.0391580619538,2280151.30420969,0.0002216462918472452,1.17739999294281,-1.412600040435791,0.4002000093460083,-0.7300000190734863
AMZN,576.8672637807787,582.0172213661638,571.1135165210492,576.88004050834,3730465.46624305,2.214847047760451e-05,0.09139999747276306,-1.0585999488830566,-0.8396000266075134,0.8341000080108643
ANDV,77.68252184273219,78.80427887212069,76.5544837172359,77.72001985702946,2617506.42573471,0.000482708509041259,0.7689999938011169,0.8948000073432922,-1.5163999795913696,3.2532999515533447
ANSS,93.53625496425728,94.36010738681487,92.74584773629866,93.60052343129472,439197.7855440826,0.0006870968595224943,0.06620000302791595,-0.963699996471405,-0.7832000255584717,-0.6238999962806702
ANTM,134.1646105639396,135.51758546465467,132.9165046068309,134.28223987291506,1883323.538522637,0.0008767536273614216,0.32679998874664307,-0.7901999950408936,-0.7080000042915344,0.2565000057220459
AON,99.05539714058787,99.75203820492447,98.41698633836396,99.11863383637807,1328024.8760921366,0.0006383972768333276,0.47369998693466187,-1.062999963760376,-0.26330000162124634,-2.47379994392395
AOS,36.43963463065923,36.76449880857825,36.116616918188996,36.460653296266884,1259603.602065131,0.0005768078033903057,-0.21400000154972076,-0.43689998984336853,-1.2728999853134155,-0.7849000096321106
APA,64.10297378872123,64.90600317712465,63.256134074662455,64.07328435266088,3832411.795869738,-0.000463152242487313,2.2797999382019043,2.51200008392334,-1.021299958229065,2.5611000061035156
APC,72.26572676727575,73.17231906274816,71.29438030182679,72.24023034154098,4972386.501985703,-0.00035281490791452043,2.38100004196167,2.434799909591675,-0.784600019454956,2.076200008392334
APD,132.59196981731532,133.5522469420173,131.58854344718026,132.61769658459093,1329444.9221604448,0.0001940296030827548,0.1103999987244606,-0.671999990940094,-0.8458999991416931,-1.2994999885559082
APH,56.83336973788718,57.237312231930126,56.45566656076248,56.872926926131896,1224710.4996028594,0.0006960204616961868,0.3479999899864197,-0.8428000211715698,-0.5170999765396118,-1.7615000009536743
APTV,89.54784090909094,90.55232045454544,88.53879545454544,89.49386363636361,2112449.522727273,-0.0006027758143506876,0.605400025844574,-0.0997999981045723,-0.8291000127792358,0.04780000075697899
